url,page_mouse_over,page_right_click_disable,page_pop_up,page_iframe,page_website_forwarding,link_pointing_to_the_page,submit_email,redirection_count,server_from_handler,page_favicon,ssl_state
http://www.google.com,0,1,1.0,0.0,0.0,1.0,1.0,1.0,-1,,0
http://presence.teams.microsoft.com,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://windows.com,0,1,1.0,0.0,1.0,1.0,1.0,-1.0,-1,1.0,0
http://opendns.com,0,1,1.0,0.0,1.0,1.0,1.0,-1.0,0,0.0,0
http://net.cdn.cloudflare.net,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://net.cdn.cloudflare.net,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://dns.msftncsi.com,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://data.trafficmanager.net,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://tremorhub.com,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0
http://stickyadstv.com,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://mon.tiktokv.com,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0
http://firefox.com,0,1,1.0,0.0,1.0,1.0,1.0,-1.0,-1,1.0,0
http://tribalfusion.com,0,1,1.0,0.0,0.0,1.0,1.0,1.0,-1,1.0,0
http://api.mixpanel.com,0,1,1.0,0.0,0.0,-1.0,1.0,1.0,0,,0
http://sophosupd.com,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://cloudops.mozgcp.net,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://rules.quantcount.com,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0,,0
http://net.akadns.net,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1
http://px.owneriq.net,0,1,1.0,1.0,0.0,0.0,0.0,1.0,0,,0
http://shell.cdn.office.net,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0,,0
